phase	step	pos	tok	label	n	min	max	mean	l2	values
ssm	0	0	44883	ffn_up	17408	-2.84365678	1.38697267	0.00116417798	18.8181899	-0.192591906,-0.12721014,-0.0302400067,0.0135480389,-0.0115726814,-0.0985067859,0.0288702101,-0.0329239368,0.0776438341,-0.0592288263,0.304898739,0.203738019,0.0442654639,0.0925959051,-0.18088001,0.249365285
ssm	0	0	44883	ffn_mul	17408	-2.18236518	1.52650511	6.57577147e-05	3.19822281	-0.00831312966,0.00398249272,0.00038121402,0.00271527655,-0.000653629657,-0.00456906948,0.000587069779,-0.00198044069,0.000730589789,0.00359773729,0.00831375085,-0.0032817421,0.0034550468,-0.00424072891,-0.0106790047,-0.00660310732
ssm	0	0	44883	ffn_down	5120	-0.242556795	3.08654308	0.000277764262	4.12924574	-0.0243068151,0.0531833544,-0.0367876329,-0.0220575966,-0.10473758,-0.0569971092,-0.0150916371,-0.0796815678,0.0513176322,0.0403195396,0.00713004731,-0.000929331407,-0.0585415103,-0.0558626279,-0.0493122824,0.0168813486
ssm	0	0	44883	post_ffn	5120	-0.679506898	15.0840406	0.00196102594	15.6596852	-0.0665082484,0.0573182888,-0.0203573294,0.0609838851,-0.129086971,-0.0865146071,-0.0293159392,-0.0999321267,0.119682461,0.055267565,-2.51075253e-05,-0.00309849624,-0.0434282087,-0.0800938159,0.00525614247,0.0137297744
ssm	1	0	44883	attn_norm	5120	-3.9235177	23.4231014	-0.000876931623	31.547853	-0.294101089,0.269384235,-0.090735957,0.268787831,-0.640810907,-0.372532547,-0.125515193,-0.476349264,0.569025099,0.241311848,-0.000110970068,-0.0137413759,-0.194390237,-0.360654563,0.0238547903,0.0629390329
ssm	1	0	44883	wqkv	10240	-8.75411415	7.39542103	-0.0102173008	64.2562356	-0.0178574175,-0.314227045,0.65315485,-0.183679253,-1.39622355,-1.166682,-0.190929577,-0.022645101,0.202146113,1.19099617,0.10798385,-0.434982002,-0.886511624,0.0868068337,0.476088583,-0.184505254
ssm	1	0	44883	wqkv_gate	6144	-6.99443293	2.95490575	-0.016993454	47.0043477	0.543760657,0.054844223,1.32932949,-0.28290835,0.0742051452,0.623301029,-0.0485339165,-1.18063402,0.344765902,0.536207795,-0.267928034,0.94918257,0.510448098,-0.0487372279,0.097527951,-0.269854575
ssm	1	0	44883	beta	48	0.193131432	0.992881536	0.605513696	4.51526903	0.617394567,0.439050555,0.284746468,0.573422253,0.299706697,0.401864737,0.532864511,0.8723104,0.867392302,0.572253585,0.77580291,0.992881536,0.449510843,0.565389812,0.668684185,0.649649978
ssm	1	0	44883	dt	48	-3.45983624	-4.34173307e-05	-1.18075708	10.9033066	-1.74515629,-2.77245951,-0.000866748858,-1.27446234,-1.34475398,-1.70137095,-3.06161451,-0.0327410512,-0.18202801,-2.54176927,-0.705716431,-0.00662549399,-2.19249177,-1.79699969,-0.548763275,-3.45983624
ssm	1	0	44883	conv_raw	10240	-1.87221777	0.59411025	0.00026214668	3.88015253	0.000584202644,-0.0131183658,-0.0358788669,0.000409197557,-0.0548808575,0.00733448751,0.00370578654,-0.000414644193,0.00161628053,-0.0625156686,0.00166747521,-0.0197526012,0.0063306801,-0.00166365632,0.012959931,0.00324325636
ssm	1	0	44883	conv	10240	-0.277988613	0.382789791	0.000460494697	1.40110121	0.000292186654,-0.00651616044,-0.0176176447,0.000204640644,-0.0266876426,0.00368069252,0.00185632636,-0.000207279096,0.000808793411,-0.0302810986,0.000834432722,-0.00977876224,0.00317535945,-0.000831136189,0.00652195467,0.00162425777
